date,sales
2023-01-01,100
2023-01-02,120
2023-01-03,110
2023-01-04,95
2023-01-05,130
2023-01-06,140
2023-01-07,125
2023-01-08,115
2023-01-09,135
2023-01-10,145
2023-01-11,120
2023-01-12,110
2023-01-13,100
2023-01-14,125
2023-01-15,135
2023-01-16,140
2023-01-17,130
2023-01-18,120
2023-01-19,115
2023-01-20,125
2023-01-21,135
2023-01-22,145
2023-01-23,150
2023-01-24,140
2023-01-25,130
2023-01-26,120
2023-01-27,110
2023-01-28,115
2023-01-29,125
2023-01-30,135
2023-01-31,140
2023-02-01,145
2023-02-02,150
2023-02-03,155
2023-02-04,145
2023-02-05,135
2023-02-06,125
2023-02-07,115
2023-02-08,120
2023-02-09,130
2023-02-10,140
2023-02-11,150
2023-02-12,155
2023-02-13,160
2023-02-14,170
2023-02-15,165
2023-02-16,155
2023-02-17,145
2023-02-18,135
2023-02-19,140
2023-02-20,150
2023-02-21,160
2023-02-22,165
2023-02-23,170
2023-02-24,175
2023-02-25,180
2023-02-26,170
2023-02-27,160
2023-02-28,150
2023-03-01,155
2023-03-02,165
2023-03-03,175
2023-03-04,180
2023-03-05,185
2023-03-06,190
2023-03-07,185
2023-03-08,175
2023-03-09,165
2023-03-10,160
2023-03-11,170
2023-03-12,180
2023-03-13,190
2023-03-14,195
2023-03-15,200
2023-03-16,205
2023-03-17,195
2023-03-18,185
2023-03-19,175
2023-03-20,180
2023-03-21,190
2023-03-22,200
2023-03-23,210
2023-03-24,215
2023-03-25,220
2023-03-26,210
2023-03-27,200
2023-03-28,190
2023-03-29,195
2023-03-30,205
2023-03-31,215
